set_name,visible_name,language,asset_key,relative_folder,expected_logo,expected_symbol,has_imported_cards,set_release_date,card_count,logo_source_url,symbol_source_url,notes,approved,logo_content_hash,symbol_content_hash
Japanese 1996 Carddass,1996 Carddass,jp,1996-carddass,inbox/1996-carddass,logo,symbol,true,1996-01-01,309,,,,false,,
Japanese 1997 Carddass,1997 Carddass,jp,1997-carddass,inbox/1997-carddass,logo,symbol,true,1997-01-01,162,,,,false,,
Japanese 1998 Carddass,1998 Carddass,jp,1998-carddass,inbox/1998-carddass,logo,symbol,true,1998-01-01,156,,,,false,,
Japanese 1999 Merlin,1999 Merlin,jp,1999-merlin,inbox/1999-merlin,logo,symbol,true,1999-01-01,172,,,,false,,
Japanese 2002 McDonald's,2002 McDonald's,jp,2002-mcdonalds,inbox/2002-mcdonalds,logo,symbol,true,2002-01-01,18,,,,false,,
Japanese 20th Anniversary,20th Anniversary,jp,20th-anniversary,inbox/20th-anniversary,logo,symbol,true,2016-01-01,103,,,,false,,
Japanese 25th Anniversary Collection,25th Anniversary Collection,jp,25th-anniversary-collection,inbox/25th-anniversary-collection,logo,symbol,true,2021-01-01,46,,,,false,,
Japanese 25th Anniversary Promo,25th Anniversary Promo,jp,25th-anniversary-promo,inbox/25th-anniversary-promo,logo,symbol,true,2021-01-01,25,,,,false,,
Japanese Abyss Eye,Abyss Eye,jp,abyss-eye,inbox/abyss-eye,logo,symbol,true,2025-01-01,118,,,,false,,
Japanese Advent of Arceus,Advent of Arceus,jp,advent-of-arceus,inbox/advent-of-arceus,logo,symbol,true,2009-01-01,178,,,,false,,
Japanese Alter Genesis,Alter Genesis,jp,alter-genesis,inbox/alter-genesis,logo,symbol,true,2019-01-01,117,,,,false,,
Japanese Amazing Volt Tackle,Amazing Volt Tackle,jp,amazing-volt-tackle,inbox/amazing-volt-tackle,logo,symbol,true,2020-01-01,121,,,,false,,
Japanese Ancient Roar,Ancient Roar,jp,ancient-roar,inbox/ancient-roar,logo,symbol,true,2023-01-01,95,,,,false,,
Japanese Awakening Legends,Awakening Legends,jp,awakening-legends,inbox/awakening-legends,logo,symbol,true,2000-01-01,20,,,,false,,
Japanese Awakening Psychic King,Awakening Psychic King,jp,awakening-psychic-king,inbox/awakening-psychic-king,logo,symbol,true,2017-01-01,176,,,,false,,
Japanese Bandit Ring,Bandit Ring,jp,bandit-ring,inbox/bandit-ring,logo,symbol,true,2015-01-01,194,,,,false,,
Japanese Battle Partners,Battle Partners,jp,battle-partners,inbox/battle-partners,logo,symbol,true,2025-01-24,133,,,,false,,
Japanese Battle Region,Battle Region,jp,battle-region,inbox/battle-region,logo,symbol,true,2022-01-01,135,,,,false,,
Japanese Beat of the Frontier,Beat of the Frontier,jp,beat-of-the-frontier,inbox/beat-of-the-frontier,logo,symbol,true,2009-01-01,200,,,,false,,
Japanese Best of XY,Best of XY,jp,best-of-xy,inbox/best-of-xy,logo,symbol,true,2016-01-01,224,,,,false,,
Japanese Black Bolt,Black Bolt,jp,black-bolt,inbox/black-bolt,logo,symbol,true,2025-01-01,334,,,,false,,
Japanese Blue Sky Stream,Blue Sky Stream,jp,blue-sky-stream,inbox/blue-sky-stream,logo,symbol,true,2021-01-01,90,,,,false,,
Japanese Bonds to the End of Time,Bonds to the End of Time,jp,bonds-to-the-end-of-time,inbox/bonds-to-the-end-of-time,logo,symbol,true,2008-01-01,176,,,,false,,
Japanese CD Promo,CD Promo,jp,cd-promo,inbox/cd-promo,logo,symbol,true,2000-01-01,10,,,,false,,
Japanese Challenge from the Darkness,Challenge from the Darkness,jp,challenge-from-the-darkness,inbox/challenge-from-the-darkness,logo,symbol,true,2011-01-01,82,,,,false,,
Japanese Clash of the Blue Sky,Clash of the Blue Sky,jp,clash-of-the-blue-sky,inbox/clash-of-the-blue-sky,logo,symbol,true,2010-01-01,165,,,,false,,
Japanese Clay Burst,Clay Burst,jp,clay-burst,inbox/clay-burst,logo,symbol,true,2023-01-01,99,,,,false,,
Japanese Cold Flare,Cold Flare,jp,cold-flare,inbox/cold-flare,logo,symbol,true,2012-01-01,130,,,,false,,
Japanese Crimson Haze,Crimson Haze,jp,crimson-haze,inbox/crimson-haze,logo,symbol,true,2024-01-01,96,,,,false,,
Japanese Crossing the Ruins,Crossing the Ruins,jp,crossing-the-ruins,inbox/crossing-the-ruins,logo,symbol,true,2010-01-01,53,,,,false,,
Japanese Cyber Judge,Cyber Judge,jp,cyber-judge,inbox/cyber-judge,logo,symbol,true,2024-01-01,100,,,,false,,
Japanese Dark Phantasma,Dark Phantasma,jp,dark-phantasma,inbox/dark-phantasma,logo,symbol,true,2022-01-01,176,,,,false,,
"Japanese Darkness, and to Light","Darkness, and to Light",jp,darkness-and-to-light,inbox/darkness-and-to-light,logo,symbol,true,2010-01-01,30,,,,false,,
Japanese Double Blaze,Double Blaze,jp,double-blaze,inbox/double-blaze,logo,symbol,true,2019-01-01,116,,,,false,,
Japanese Dream League,Dream League,jp,dream-league,inbox/dream-league,logo,symbol,true,2019-01-01,75,,,,false,,
Japanese Eevee Heroes,Eevee Heroes,jp,eevee-heroes,inbox/eevee-heroes,logo,symbol,true,2021-01-01,101,,,,false,,
Japanese Emerald Break,Emerald Break,jp,emerald-break,inbox/emerald-break,logo,symbol,true,2015-01-01,182,,,,false,,
Japanese EX Battle Boost,EX Battle Boost,jp,ex-battle-boost,inbox/ex-battle-boost,logo,symbol,true,2014-01-01,224,,,,false,,
Japanese ex Starter Decks,ex Starter Decks,jp,ex-starter-decks,inbox/ex-starter-decks,logo,symbol,true,2023-07-07,141,,,,false,,
Japanese Expansion Pack,Expansion Pack,jp,expansion-pack,inbox/expansion-pack,logo,symbol,true,1996-01-01,138,,,,false,,
Japanese Expedition Expansion Pack,Expedition Expansion Pack,jp,expedition-expansion-pack,inbox/expedition-expansion-pack,logo,symbol,true,2001-01-01,259,,,,false,,
Japanese Flight of Legends,Flight of Legends,jp,flight-of-legends,inbox/flight-of-legends,logo,symbol,true,2004-01-01,162,,,,false,,
Japanese Fusion Arts,Fusion Arts,jp,fusion-arts,inbox/fusion-arts,logo,symbol,true,2021-01-01,129,,,,false,,
Japanese Future Flash,Future Flash,jp,future-flash,inbox/future-flash,logo,symbol,true,2023-01-01,95,,,,false,,
Japanese Gaia Volcano,Gaia Volcano,jp,gaia-volcano,inbox/gaia-volcano,logo,symbol,true,2015-01-01,160,,,,false,,
Japanese Glory of Team Rocket,Glory of Team Rocket,jp,glory-of-team-rocket,inbox/glory-of-team-rocket,logo,symbol,true,2025-01-01,132,,,,false,,
Japanese Go,Go,jp,go,inbox/go,logo,symbol,true,2022-01-01,96,,,,false,,
"Japanese Gold, Silver, New World","Gold, Silver, New World",jp,gold-silver-new-world,inbox/gold-silver-new-world,logo,symbol,true,1999-01-01,81,,,,false,,
"Japanese Golden Sky, Silvery Ocean","Golden Sky, Silvery Ocean",jp,golden-sky-silvery-ocean,inbox/golden-sky-silvery-ocean,logo,symbol,true,2003-01-01,211,,,,false,,
Japanese GX Battle Boost,GX Battle Boost,jp,gx-battle-boost,inbox/gx-battle-boost,logo,symbol,true,2017-01-01,126,,,,false,,
Japanese GX Ultra Shiny,GX Ultra Shiny,jp,gx-ultra-shiny,inbox/gx-ultra-shiny,logo,symbol,true,2018-01-01,283,,,,false,,
Japanese Heat Wave Arena,Heat Wave Arena,jp,heat-wave-arena,inbox/heat-wave-arena,logo,symbol,true,2024-01-01,92,,,,false,,
Japanese Holon Phantom,Holon Phantom,jp,holon-phantom,inbox/holon-phantom,logo,symbol,true,2006-01-01,105,,,,false,,
Japanese Holon Research,Holon Research,jp,holon-research,inbox/holon-research,logo,symbol,true,2005-01-01,181,,,,false,,
Japanese Incandescent Arcana,Incandescent Arcana,jp,incandescent-arcana,inbox/incandescent-arcana,logo,symbol,true,2022-01-01,155,,,,false,,
Japanese Inferno X,Inferno X,jp,inferno-x,inbox/inferno-x,logo,symbol,true,2025-01-01,116,,,,false,,
Japanese Intense Fight in the Destroyed Sky,Intense Fight in the Destroyed Sky,jp,intense-fight-in-the-destroyed-sky,inbox/intense-fight-in-the-destroyed-sky,logo,symbol,true,2009-01-01,178,,,,false,,
Japanese Jungle,Jungle,jp,jungle,inbox/jungle,logo,symbol,true,1997-01-01,47,,,,false,,
Japanese Leaders' Stadium,Leaders' Stadium,jp,leaders-stadium,inbox/leaders-stadium,logo,symbol,true,2000-01-01,96,,,,false,,
Japanese Lost Abyss,Lost Abyss,jp,lost-abyss,inbox/lost-abyss,logo,symbol,true,2022-01-01,127,,,,false,,
Japanese Magma VS Aqua Two Ambitions,Magma VS Aqua Two Ambitions,jp,magma-vs-aqua-two-ambitions,inbox/magma-vs-aqua-two-ambitions,logo,symbol,true,2003-01-01,160,,,,false,,
Japanese Mask of Change,Mask of Change,jp,mask-of-change,inbox/mask-of-change,logo,symbol,true,2024-01-01,133,,,,false,,
Japanese Mega Brave,Mega Brave,jp,mega-brave,inbox/mega-brave,logo,symbol,true,2024-01-01,92,,,,false,,
Japanese Mega Dream ex,Mega Dream ex,jp,mega-dream-ex,inbox/mega-dream-ex,logo,symbol,true,2024-01-01,487,,,,false,,
